# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	26693
#@/user_id	fec832ee-97fb-4052-a286-c15cd5b4de4d
a 	啊	c=168 d=1.65468 t=26693
xin tiao 	信條	c=1 d=1.04649 t=13315
xin tiao 	心跳	c=0 d=0.1 t=12893
xin tiao bao 	心跳包	c=1 d=1 t=12894
xin tong 	信筒	c=1 d=0.65377 t=26693
xin wen 	新聞	c=1 d=1 t=18478
xin xi 	信息	c=7 d=1.01265 t=23808
xin xing 	新型	c=2 d=1 t=21870
xin xing shi 	新形勢	c=2 d=1.86071 t=15489
xin xu qiu 	新需求	c=1 d=1 t=6172
xin yao qiu 	新要求	c=1 d=1 t=15598
xin yi jie 	新一屆	c=1 d=1 t=15966
xin yong 	信用	c=0 d=0.1 t=5982
xin yong dai ma 	信用代碼	c=1 d=1 t=5983
xin yong hu 	新用戶	c=1 d=1 t=2554
xin yuan 	欣苑	c=4 d=1 t=22341
xin zhong guo 	新中國	c=1 d=1 t=22041
xin zuo ye 	新作業	c=1 d=0.442639 t=26693
xing 	型	c=2 d=1 t=21836
xing 	性	c=5 d=1.00266 t=20473
xing 	星	c=11 d=1.99006 t=26437
xing 	興	c=1 d=1 t=26506
xing 	行	c=4 d=1.956 t=20017
xing ba 	行吧	c=1 d=1 t=1152
xing ba ke 	星巴克	c=2 d=1 t=23116
xing bie 	性別	c=1 d=1 t=19649
xing bu tong 	行不通	c=0 d=0.1 t=20368
xing bu tong de 	行不通的	c=1 d=1 t=20369
xing cheng 	形成	c=2 d=1 t=21616
xing cheng le 	形成了	c=1 d=1 t=14829
xing er shang xue 	形而上學	c=1 d=1 t=9990
xing fen 	興奮	c=0 d=0.1 t=22907
xing fen zheng 	興奮症	c=1 d=1 t=22908
xing fu 	幸福	c=1 d=1.1253 t=21839
xing fu sheng huo 	幸福生活	c=1 d=1 t=21655
xing fu zhi ji 	幸福之基	c=1 d=1 t=21675
xing guan xi 	性關係	c=1 d=1 t=8268
xing hao 	幸好	c=1 d=1 t=4585
xing hao 	星號	c=13 d=1.66034 t=23008
xing ji 	星級	c=1 d=1 t=6437
xing ji 	星際	c=0 d=0.1 t=13746
xing ji huo hu 	星際火狐	c=1 d=1 t=13747
xing la 	醒辣	c=1 d=1 t=8740
xing lai 	醒來	c=1 d=1 t=24218
xing le 	行了	c=0 d=0.1 t=10120
xing le xing le 	行了行了	c=1 d=1 t=10121
xing lian chuan 	星蓮船	c=2 d=1.99005 t=8018
xing neng 	性能	c=1 d=1 t=5448
xing qi 	星期	c=1 d=1 t=5414
xing qi si 	星期四	c=0 d=0.1 t=25144
xing qi wu 	星期五	c=2 d=1.97531 t=8251
xing qi yi 	星期一	c=1 d=1 t=22640
xing qu 	興趣	c=0 d=0.1 t=25241
xing shi 	形式	c=2 d=1 t=23082
xing shi shang 	形式上	c=1 d=1 t=20330
xing shu 	行書	c=1 d=1 t=19787
xing tai 	形態	c=1 d=1 t=903
xing wei 	行爲	c=1 d=0.1 t=22935
xing xiang 	形象	c=1 d=1 t=7101
xing ye 	星野	c=1 d=1 t=25819
xing zheng 	行政	c=2 d=1.83527 t=20492
xing zheng quan li 	行政權力	c=1 d=1 t=20488
xing zhi 	性質	c=5 d=1 t=18521
xiong 	兄	c=1 d=1 t=16888
xiong 	熊	c=3 d=0.125604 t=25545
xiong di hui 	兄弟會	c=1 d=1 t=13338
xiong hou 	雄厚	c=1 d=1 t=20174
xiong mao 	熊貓	c=9 d=1.9802 t=24813
xiong xiong 	熊熊	c=1 d=1 t=18797
xiong ya li 	匈牙利	c=1 d=0.767206 t=26693
xiu 	修	c=3 d=1.9759 t=26667
xiu 	秀	c=2 d=1 t=14219
xiu gai 	修改	c=2 d=1 t=19602
xiu gai hou 	修改後	c=1 d=1 t=15091
xiu gai xian fa 	修改憲法	c=1 d=1 t=16077
xiu hao le 	修好了	c=2 d=1.06555 t=24805
xiu le ge 	修了個	c=1 d=1 t=17208
xiu le yi ge 	修了一個	c=1 d=1 t=17207
xiu shi 	修飾	c=2 d=1.9802 t=26288
xiu xian 	修仙	c=1 d=1 t=4123
xiu xiu bu bu 	修修補補	c=1 d=1 t=3643
xiu zheng an 	修正案	c=3 d=1.18413 t=15963
xu 	序	c=0 d=0.199501 t=4728
xu 	虛	c=1 d=1 t=18917
xu duo 	許多	c=1 d=1 t=20378
xu hang 	續航	c=1 d=1 t=955
xu jia 	虛假	c=1 d=1 t=13172
xu kong 	虛空	c=1 d=1 t=9886
xu le 	緒了	c=1 d=1 t=12611
xu lie 	序列	c=2 d=1.1269 t=5007
xu lie zhong 	序列中	c=1 d=1 t=5008
xu mu 	序幕	c=2 d=1 t=20700
xu ni 	虛擬	c=2 d=0.100064 t=21027
xu ni jing ji 	虛擬經濟	c=1 d=1 t=21028
xu ni nei cun 	虛擬內存	c=1 d=1 t=12528
xu qiu 	需求	c=4 d=0.1 t=25394
xu ri 	旭日	c=1 d=1 t=9724
xu rong 	虛榮	c=1 d=1 t=19035
xu shu 	敘述	c=1 d=1 t=8557
xu tao 	徐濤	c=1 d=1 t=9322
xu yao 	需要	c=25 d=0.22313 t=26693
xu yao de shi hou 	需要的時候	c=1 d=1 t=22496
xu yao yong 	需要用	c=1 d=1 t=4139
xu zhang 	序章	c=3 d=2.92712 t=7058
xuan 	宣	c=1 d=1 t=19673
xuan 	選	c=6 d=1 t=25935
xuan bei 	選背	c=1 d=1 t=25192
xuan bu 	宣佈	c=2 d=1 t=16305
xuan chu 	選出	c=1 d=1 t=13928
xuan chuan 	宣傳	c=1 d=1 t=13173
xuan ci 	選詞	c=0 d=0.0822835 t=26693
xuan ci kuang 	選詞框	c=1 d=1 t=11779
xuan de 	選的	c=1 d=1 t=6777
xuan gong 	宣攻	c=1 d=1 t=19669
xuan jiang hui 	宣講會	c=1 d=1 t=17658
xuan ju 	選舉	c=3 d=1 t=21042
xuan le 	選了	c=1 d=1 t=9327
xuan qi 	玄奇	c=1 d=1 t=26269
xuan shi 	宣示	c=1 d=1 t=19874
xuan xian 	選賢	c=1 d=1 t=21045
xuan xiang 	選項	c=7 d=1 t=25760
xuan yan 	宣言	c=1 d=1 t=21292
xuan yi ge 	選一個	c=1 d=1 t=16678
xuan ze 	選擇	c=7 d=1 t=26234
xuan ze de 	選擇的	c=1 d=1 t=25506
xuan ze yi ge 	選擇一個	c=1 d=1 t=4915
xuan zhuan 	旋轉	c=1 d=0.209701 t=24483
xuan zhuan dao gua 	旋轉倒掛	c=1 d=1 t=24484
xue 	學	c=4 d=1.00315 t=25883
xue 	血	c=3 d=1.18905 t=16876
xue bi 	雪碧	c=2 d=1.96561 t=5190
xue dao 	學到	c=0 d=0.1 t=26135
xue dao hui 	學到會	c=1 d=1 t=26136
xue de 	學的	c=1 d=1 t=18084
xue guo 	學過	c=2 d=1 t=24561
xue jie 	學姐	c=1 d=1 t=12399
xue jie 	學界	c=1 d=1 t=12398
xue le 	削了	c=0 d=0.1 t=3609
xue le 	學了	c=1 d=1 t=6311
xue le zhe xie 	削了這些	c=1 d=1 t=3610
xue liang 	血量	c=1 d=1 t=1677
xue mao 	雪毛	c=6 d=1.02851 t=9657
xue meng 	血盟	c=1 d=1 t=6235
xue qi 	學期	c=0 d=0.1 t=22782
xue ren 	雪人	c=1 d=1 t=12280
xue sheng 	學生	c=1 d=0.1 t=10519
xue sheng hui 	學生會	c=1 d=1 t=1441
xue sheng you xiang 	學生郵箱	c=1 d=1 t=10520
xue shuo 	學說	c=1 d=1 t=21089
xue wan 	學完	c=1 d=1 t=3597
xue wei 	學委	c=1 d=1 t=12538
xue xi 	學習	c=5 d=0.45612 t=26693
xue xi ti hui 	學習體會	c=1 d=1 t=2177
xue xian 	血線	c=1 d=1 t=22814
xue xiao 	學校	c=13 d=1 t=24696
xue xiao de 	學校的	c=1 d=1 t=7590
xue xiao li mian 	學校裏面	c=1 d=1 t=3091
xue xue 	學學	c=1 d=1 t=3605
xue zhang 	學長	c=4 d=0.573657 t=16757
xue zhang hao 	學長好	c=1 d=1 t=16758
xun 	尋	c=0 d=0.1 t=1731
xun dao 	殉道	c=1 d=1 t=25002
xun huan 	循環	c=6 d=1 t=19059
xun huan le 	循環了	c=1 d=0.1 t=23864
xun shui lu 	尋水鹿	c=3 d=1 t=10761
xun su 	迅速	c=2 d=1.37158 t=14576
xun you 	迅遊	c=1 d=1 t=1200
xun zhao 	尋找	c=4 d=1.99501 t=19413
xun zhi 	尋址	c=1 d=1 t=6937
ya 	壓	c=1 d=1 t=22813
ya 	雅	c=1 d=1 t=25553
ya 	鴨	c=2 d=1.95123 t=11458
ya gu shou 	亞古獸	c=1 d=1 t=16601
ya ke li 	亞克力	c=4 d=3.78253 t=18269
ya li 	亞里	c=0 d=0.1 t=950
ya li 	壓力	c=1 d=1 t=19716
ya li sha 	亞里紗	c=1 d=1 t=951
ya ma xun 	亞馬遜	c=1 d=1 t=24678
ya suo 	壓縮	c=0 d=0.1 t=3341
ya ti 	押題	c=1 d=1 t=25191
ya yan yuan 	亞研院	c=1 d=1 t=25403
ya zhe 	押着	c=1 d=1 t=3669
ya zhou 	亞洲	c=2 d=1 t=21704
yan 	眼	c=1 d=1 t=22994
yan 	鹽	c=2 d=1.02472 t=8766
yan bi 	延畢	c=1 d=1 t=26512
yan fa 	研發	c=0 d=0.1 t=23766
yan fa de 	研發的	c=1 d=1 t=23767
yan ge 	嚴格	c=0 d=0.1 t=21016
yan ge zhi fa 	嚴格執法	c=1 d=1 t=21017
yan guo qi shi 	言過其實	c=0 d=0.1 t=5844
yan jie 	眼界	c=1 d=1 t=20570
yan jin 	嚴謹	c=1 d=1 t=8566
yan jiu 	研究	c=1 d=1 t=20572
yan jiu sheng 	研究生	c=2 d=1.00674 t=26416
yan qing 	鹽晴	c=1 d=1 t=8762
yan quan 	言犬	c=1 d=1 t=22294
yan se 	顏色	c=9 d=1 t=24372
yan shu 	眼熟	c=0 d=0.1 t=23600
yan su 	嚴肅	c=1 d=1 t=5653
yan su de 	嚴肅的	c=1 d=1 t=5658
yan xu 	延續	c=0 d=0.1 t=20311
yan you 	研友	c=1 d=1 t=25333
yan zhao 	眼罩	c=1 d=1 t=4559
yan zhao wang 	研招網	c=4 d=1.90485 t=19084
yan zheng ma 	驗證碼	c=3 d=1 t=21483
yan zhong 	嚴重	c=2 d=1 t=21038
yang 	楊	c=1 d=0.1 t=19054
yang 	樣	c=1 d=1 t=14395
yang 	養	c=2 d=0.0169483 t=26693
yang chao 	楊超	c=1 d=1 t=7598
yang ci ku 	養詞庫	c=1 d=0.170333 t=26693
yang ge 	陽哥	c=11 d=2.74752 t=17909
yang ge de 	陽哥的	c=1 d=1 t=2688
yang he ran 	楊賀然	c=1 d=1 t=1039
yang mao 	羊毛	c=0 d=0.1 t=12676
yang zhi gan lu 	楊枝甘露	c=1 d=1 t=19055
yang zi 	樣子	c=3 d=1 t=19984
yao 	腰	c=1 d=1 t=22357
yao 	要	c=61 d=1.29638 t=26296
yao 	謠	c=0 d=0.199501 t=24276
yao 	鑰	c=0 d=0.1 t=2041
yao bei 	要被	c=1 d=1 t=18406
yao bu 	要不	c=1 d=1 t=22548
yao bu yao 	要不要	c=3 d=1 t=26040
yao cong 	要從	c=1 d=1 t=2242
yao dao 	要到	c=0 d=0.1 t=23651
yao fen qing kuang 	要分情況	c=1 d=1 t=25836
yao gan 	搖桿	c=1 d=1.09465 t=13365
yao ge 	要個	c=1 d=1 t=23181
yao gei 	要給	c=1 d=1 t=4150
yao hao 	要好	c=0 d=0.1 t=10546
yao hao dian 	要好點	c=1 d=1 t=10547
yao jiao zhen 	要較真	c=1 d=1 t=9679
yao jing 	妖精	c=3 d=2.52318 t=18898
yao kan 	要看	c=2 d=1 t=23640
yao kan ni 	要看你	c=1 d=1 t=23250
yao kao 	要考	c=1 d=1 t=9997
yao mai 	要買	c=0 d=0.1 t=2496
yao me 	要麼	c=10 d=1.99501 t=24712
yao mei le 	要沒了	c=1 d=1 t=7606
yao qiu 	要求	c=10 d=1.92774 t=21332
yao qu 	要去	c=3 d=1.00036 t=26093
yao ren 	搖人	c=1 d=1 t=961
yao shi 	要是	c=2 d=1 t=23038
yao shi 	鑰匙	c=4 d=1.02399 t=23783
yao shui le 	要睡了	c=1 d=0.1 t=7169
yao shui le ma 	要睡了嗎	c=1 d=1 t=7170
yao shuo 	要說	c=0 d=0.199501 t=12478
yao shuo de 	要說的	c=1 d=0.137068 t=13138
yao shuo de hua 	要說的話	c=1 d=1 t=13139
yao su 	要素	c=3 d=1.8825 t=19580
yao wan 	要玩	c=1 d=1 t=1511
yao wo 	要我	c=0 d=0.1 t=1107
yao wo shuo 	要我說	c=1 d=1 t=19572
yao wo xuan 	要我選	c=1 d=1 t=1108
yao xiang 	要想	c=0 d=0.1 t=11212
yao xue 	要學	c=0 d=0.197045 t=2034
yao yan 	謠言	c=2 d=1.22764 t=19653
yao yi 	要義	c=1 d=1 t=20637
yao yong 	要用	c=0 d=0.113134 t=11407
yao yong bi 	要用筆	c=1 d=1 t=17642
yao yong de 	要用的	c=1 d=1 t=11408
yao yong de shi hou 	要用的時候	c=1 d=1 t=17652
yao zai 	要在	c=2 d=1.0703 t=15696
yao zhe me shuo 	要這麼說	c=1 d=1 t=9696
yao zhuang 	要裝	c=1 d=1 t=17862
yao zi 	腰子	c=3 d=2.89335 t=17782
yao zuo chu 	要做出	c=1 d=1 t=20219
ye 	也	c=48 d=0.660794 t=26693
ye 	爺	c=0 d=0.1 t=424
ye 	耶	c=2 d=1.50916 t=18352
ye 	野	c=6 d=1.10331 t=16635
ye 	頁	c=1 d=1 t=2161
ye ban 	夜班	c=0 d=0.1 t=2350
ye bi 	也比	c=1 d=1 t=25945
ye bu 	也不	c=0 d=0.1 t=15756
ye bu hui 	也不會	c=0 d=0.1 t=25235
ye bu hui qu 	也不會去	c=1 d=1 t=25236
ye bu ke neng 	也不可能	c=1 d=1 t=13877
ye bu shi 	也不是	c=7 d=1 t=22316
ye bu tai 	也不太	c=1 d=1 t=25551
ye bu xing 	也不行	c=1 d=1 t=615
ye bu xu yao 	也不需要	c=1 d=1 t=13018
ye bu zhi dao 	也不知道	c=2 d=1 t=23626
ye bu zhi yu 	也不至於	c=1 d=1 t=25481
ye bu zou 	也不走	c=1 d=1 t=15757
ye chu xian guo 	也出現過	c=1 d=1 t=1789
ye gai 	也該	c=1 d=1 t=25690
ye gan 	也敢	c=1 d=1 t=22486
ye hao 	也好	c=1 d=1 t=25401
ye hen bang 	也很棒	c=1 d=1 t=7995
ye hui 	也會	c=1 d=1 t=25325
ye ji 	業績	c=0 d=0.1 t=23950
ye jia xue fei 	耶加雪菲	c=2 d=1.98511 t=7584
ye jing 	夜景	c=1 d=1 t=4788
ye jiu 	也就	c=1 d=1 t=12546
ye jiu shi 	也就是	c=1 d=1 t=8530
ye ka 	野卡	c=3 d=1.99501 t=6895
ye ke 	也可	c=1 d=1 t=18989
ye ke yi 	也可以	c=5 d=1 t=19762
ye kuai 	也快	c=1 d=1 t=9395
ye lai le 	也來了	c=1 d=1 t=17854
ye mei 	也沒	c=2 d=0.1 t=25185
ye mei ban fa 	也沒辦法	c=1 d=1 t=26134
ye mei bei 	也沒背	c=1 d=1 t=25186
ye mei cuo 	也沒錯	c=1 d=1 t=11955
ye mei jian 	也沒見	c=0 d=0.1 t=23467
ye mei jian zhe 	也沒見着	c=1 d=1 t=23468
ye mei shuo 	也沒說	c=2 d=1 t=9667
ye mei yong 	也沒用	c=1 d=1 t=12779
ye mian 	頁面	c=5 d=1 t=16607
ye neng 	也能	c=6 d=1 t=26655
ye neng wan 	也能玩	c=2 d=1.79852 t=954
ye neng yong 	也能用	c=1 d=1 t=19389
ye qiu quan 	野球拳	c=1 d=1 t=1233
ye shi 	也是	c=21 d=1.01709 t=23807
ye shi guo le 	也試過了	c=1 d=1 t=13050
ye shou 	野獸	c=1 d=1 t=8868
ye shuo 	也說	c=1 d=0.1 t=11116
ye shuo le 	也說了	c=1 d=1 t=11117
ye suan 	也算	c=2 d=1.00001 t=7864
ye tai 	也太	c=0 d=0.1 t=26020
ye tai zao gao 	也太糟糕	c=1 d=1 t=26021
ye ti 	液體	c=1 d=1 t=24326
ye xiang 	也想	c=0 d=0.1 t=26125
ye xing 	也行	c=1 d=1 t=17806
ye yao 	也要	c=2 d=1.00266 t=2200
ye ye 	爺爺	c=1 d=1 t=16809
ye you 	也有	c=4 d=1 t=26359
ye you dian 	也有點	c=1 d=1 t=24967
ye you ke neng 	也有可能	c=3 d=1.8825 t=25856
ye zai 	也在	c=2 d=1 t=13176
ye zhi you 	也只有	c=1 d=1 t=2268
yi 	一	c=7 d=0.197899 t=26693
yi 	以	c=20 d=1.20065 t=21754
yi 	億	c=0 d=0.1 t=15174
yi 	咦	c=3 d=1 t=24654
yi 	宜	c=1 d=1 t=20225
yi 	已	c=0 d=0.1 t=26554
yi 	易	c=0 d=0.1 t=23232
yi 	燚	c=1 d=1 t=16156
yi 	譯	c=1 d=1 t=9773
yi ba 	一把	c=1 d=0.1 t=10730
yi ba zi 	一把子	c=2 d=1 t=25143
yi ban 	一半	c=2 d=1 t=13041
yi ban 	一般	c=21 d=0.96448 t=26693
yi ban de 	一半的	c=1 d=1 t=20334
yi ban gui lv 	一般規律	c=1 d=1 t=9048
yi ban lai shuo 	一般來說	c=2 d=1 t=24399
yi ban xian xing biao 	一般線性表	c=1 d=1 t=5470
yi bei 	一倍	c=1 d=1 t=25057
yi bei 	一杯	c=3 d=1.97045 t=7583
yi ben 	一本	c=1 d=0.1 t=22909
yi ben man zu 	一本滿足	c=1 d=1 t=22910
yi bian 	一遍	c=5 d=1.05784 t=25776
yi bian 	一邊	c=1 d=1 t=22927
yi bian 	以便	c=1 d=1 t=21523
yi bo 	一波	c=1 d=1 t=22824
yi bu 	伊布	c=1 d=1 t=16142
yi bu fen 	一部分	c=1 d=1 t=24063
yi ceng 	一層	c=1 d=1 t=18050
yi chang 	一場	c=1 d=1 t=21146
yi chang 	異常	c=2 d=1.94649 t=10720
yi chu 	溢出	c=0 d=0.1 t=1980
yi ci 	一次	c=14 d=1.00024 t=22803
yi ci na qi 	一次拿齊	c=1 d=1 t=6263
yi ci xing 	一次性	c=1 d=1 t=6851
yi cuo 	一錯	c=1 d=1 t=19986
yi da 	一大	c=4 d=1 t=16784
yi da 	燚龖	c=1 d=1 t=16154
yi da dao 	以達到	c=1 d=1 t=13833
yi da dui 	一大堆	c=1 d=1 t=8283
yi dai 	一代	c=1 d=1 t=2230
yi dang 	一檔	c=1 d=1 t=25558
yi dao 	一道	c=1 d=1 t=15127
yi di 	一滴	c=1 d=1 t=18351
yi dian 	一點	c=9 d=1.02303 t=24376
yi dian dian 	一點點	c=2 d=1.8781 t=24118
yi ding 	一定	c=1 d=1 t=1653
yi ding fan wei 	一定範圍	c=1 d=1 t=14721
yi ding shi 	一定是	c=1 d=1 t=19154
yi dong 	移動	c=3 d=1 t=26216
yi dong ying pan 	移動硬盤	c=6 d=3.90732 t=26224
yi dong ying pan le 	移動硬盤了	c=1 d=1 t=11363
yi duan 	一段	c=0 d=0.1 t=26651
yi duan shi jian 	一段時間	c=1 d=1 t=16656
yi dui 	一堆	c=7 d=1.02756 t=25621
yi dun 	一頓	c=1 d=1 t=26117
yi fa 	一發	c=1 d=1.09512 t=26177
yi fa 	依法	c=2 d=1.99005 t=20455
yi fa zhi guo 	依法治國	c=5 d=1.00206 t=22016
yi fen 	一份	c=0 d=0.0467666 t=26693
yi fen zhong 	一分鐘	c=1 d=1 t=3905
yi fu 	衣服	c=3 d=1 t=25078
yi gai 	已改	c=1 d=1 t=7925
yi ge 	一個	c=73 d=0.261846 t=26693
yi ge chuang kou 	一個窗口	c=1 d=1 t=12055
yi ge gan jue 	一個感覺	c=1 d=1 t=23683
yi ge niao yang 	一個鳥樣	c=1 d=1 t=3624
yi ge ren 	一個人	c=3 d=1 t=24231
yi ge ren ma 	一個人嗎	c=1 d=1 t=1833
yi ge wan shang 	一個晚上	c=1 d=1 t=26133
yi ge xiao shi 	一個小事	c=1 d=1 t=25110
yi ge xiao shi 	一個小時	c=2 d=1.96079 t=25119
yi ge yang 	一個樣	c=1 d=1 t=4806
yi ge yue 	一個月	c=6 d=1.00019 t=26162
yi ge zhong xin 	一個重心	c=1 d=1 t=16942
yi gen 	一根	c=1 d=1 t=21980
yi gong 	一共	c=4 d=1 t=18510
yi gu 	一股	c=1 d=1 t=25133
yi guan 	一關	c=0 d=0.1 t=12202
yi gui 	衣櫃	c=1 d=1 t=16573
yi guo liang zhi 	一國兩制	c=2 d=1.09926 t=21093
yi han 	遺憾	c=2 d=1.99005 t=6982
yi hou 	以後	c=18 d=1.00791 t=26302
yi hui 	一會	c=1 d=1 t=26612
yi hun 	已婚	c=1 d=1 t=8996
yi huo 	疑惑	c=2 d=1.0153 t=2840
yi ji 	一集	c=2 d=1 t=17307
yi ji 	以及	c=5 d=1.11034 t=13999
yi ji 	遺蹟	c=0 d=0.1 t=6383
yi jia 	一家	c=1 d=0.1 t=19723
yi jian 	一鍵	c=1 d=1 t=22425
yi jian bao 	一鍵包	c=1 d=1 t=12960
yi jiang 	一將	c=0 d=0.1 t=23190
yi jiang cheng ming 	一將成名	c=1 d=1 t=23191
yi jie 	一屆	c=0 d=0.1 t=5080
yi jie ke 	一節課	c=0 d=0.1 t=12446
yi jie shu 	一屆樹	c=1 d=1 t=5081
yi jie shu 	已結束	c=1 d=1 t=5082
yi jing 	已經	c=37 d=1.61565 t=26179
yi jing shi 	已經是	c=1 d=1 t=14619
yi jing wang wan le 	已經忘完了	c=1 d=1 t=24551
yi jiu huan xin 	以舊換新	c=1 d=1 t=2276
yi ju 	一句	c=1 d=1 t=10016
yi ju 	依據	c=4 d=1.59381 t=20161
yi kai shi 	一開始	c=2 d=1 t=23411
yi kan 	一看	c=2 d=1 t=22210
yi kao 	依靠	c=1 d=1 t=20393
yi kao ren min 	依靠人民	c=1 d=1 t=15904
yi lai 	以來	c=3 d=1 t=20852
yi lei 	一類	c=0 d=0.1 t=23263
yi lei de 	一類的	c=1 d=1 t=23264
yi liu 	遺留	c=1 d=1 t=14807
yi liu de 	一流的	c=1 d=1 t=14806
yi lun 	一輪	c=3 d=1.96079 t=24554
yi men 	一門	c=1 d=1.06079 t=17489
yi mian 	一面	c=1 d=0.1 t=18288
yi mo yi yang 	一模一樣	c=1 d=1 t=13255
yi nei 	以內	c=1 d=1 t=6445
yi neng 	異能	c=7 d=1.02362 t=10659
yi nian 	一年	c=4 d=1.10593 t=24320
yi pi 	一批	c=2 d=1.09539 t=16386
yi qi 	一起	c=7 d=1 t=25227
yi qi fa 	一起發	c=1 d=1 t=11536
yi qian 	以前	c=15 d=0.447088 t=26693
yi qie 	一切	c=4 d=1 t=20404
yi qing 	疫情	c=1 d=1 t=2273
yi qun 	一羣	c=1 d=1 t=17185
yi qun ren 	一羣人	c=0 d=0.1 t=24857
yi ren 	一人	c=1 d=1 t=24533
yi ren wei ben 	以人爲本	c=1 d=1 t=15350
yi se 	一色	c=0 d=0.1 t=3250
yi shan 	一閃	c=1 d=1 t=969
yi shang 	以上	c=9 d=1.06236 t=26436
yi shang shou 	易上手	c=1 d=1 t=23233
yi shi 	一時	c=0 d=0.1 t=804
yi shi 	儀式	c=2 d=1.0087 t=7339
yi shi 	意識	c=2 d=1 t=21233
yi shi yong 	已使用	c=1 d=1 t=26555
yi shou 	一手	c=0 d=0.1 t=12515
yi shun jian 	一瞬間	c=1 d=1 t=12772
yi shuo 	一說	c=1 d=1 t=12147
yi si 	一絲	c=1 d=1 t=3559
yi si 	意思	c=6 d=1.00041 t=23566
yi si shi 	意思是	c=2 d=1.03579 t=11573
yi su 	伊蘇	c=6 d=3.46393 t=1227
yi ta 	以它	c=2 d=1.79852 t=4978
yi tai 	一胎	c=1 d=1 t=25322
yi tai 	以太	c=1 d=1.09851 t=13669
yi tai zhi guang 	以太之光	c=1 d=1 t=13667
yi tao 	一套	c=8 d=1.00021 t=10104
yi tao pai 	一套牌	c=1 d=1 t=8518
yi ti 	一體	c=0 d=0.1 t=20460
yi ti jian she 	一體建設	c=1 d=1 t=20461
yi tian 	一天	c=6 d=2.90825 t=23706
yi tiao 	一條	c=2 d=1 t=9535
yi wai 	以外	c=4 d=1 t=17446
yi wei 	一位	c=3 d=1 t=25462
yi wei 	以爲	c=2 d=1 t=25463
yi wei shi 	以爲是	c=1 d=1 t=14852
yi wei zai 	以爲在	c=0 d=0.1 t=3851
yi wen 	異聞	c=0 d=0.1 t=16962
yi wen lu 	異聞錄	c=1 d=1 t=16963
yi xi lie 	一系列	c=1 d=1 t=15293
yi xia 	一下	c=15 d=0.932394 t=26693
yi xia 	以下	c=3 d=1 t=19257
yi xia wu 	一下午	c=0 d=0.1 t=2379
yi xia zi 	一下子	c=1 d=1 t=3975
yi xie 	一些	c=4 d=1.00003 t=20214
yi xue 	醫學	c=2 d=1.00017 t=7918
yi yan nan jin 	一言難盡	c=1 d=1 t=14888
yi yang 	一樣	c=3 d=0.100033 t=24372
yi yang kai 	一樣開	c=1 d=1 t=22770
yi ye 	一頁	c=1 d=0.822835 t=26693
yi ye zhi 	一頁紙	c=2 d=1 t=12142
yi yi 	意義	c=2 d=0.1 t=26083
yi you 	已有	c=1 d=1 t=9835
yi yu 	抑鬱	c=1 d=1 t=24192
yi yuan 	意願	c=1 d=1 t=10076
yi yuan 	醫院	c=2 d=1.97531 t=24238
yi yuan lun 	一元論	c=1 d=1 t=7391
yi zao 	一早	c=1 d=1 t=22254
yi zhang 	一張	c=4 d=0.1 t=25939
yi zhang 	一章	c=1 d=1 t=10371
yi zhang pai 	一張牌	c=1 d=1 t=25940
yi zhao 	一招	c=1 d=1 t=21128
yi zheng 	一整	c=0 d=0.1 t=12284
yi zheng ge 	一整個	c=1 d=1 t=12285
yi zheng tian 	一整天	c=1 d=1 t=20761
yi zhi 	一直	c=6 d=1.0098 t=23373
yi zhi 	一致	c=1 d=1 t=21179
yi zhi 	一隻	c=5 d=1.06856 t=23372
yi zhi 	意志	c=1 d=1 t=20292
yi zhi 	易幟	c=0 d=0.1 t=15757
yi zhi guai shou 	一隻怪獸	c=1 d=1 t=6748
yi zhi tong yi 	一致同意	c=1 d=1 t=15618
yi zhi yi wei 	一直以爲	c=0 d=0.1 t=5929
yi zhong 	一種	c=5 d=0.1 t=23619
yi zhong ke neng 	一種可能	c=1 d=1 t=23620
yi zhou 	一週	c=2 d=1 t=23732
yi zuo 	一做	c=1 d=1 t=20822
yin 	印	c=1 d=1.03239 t=18301
yin 	因	c=0 d=0.1 t=15221
yin 	淫	c=2 d=1 t=17519
yin 	陰	c=1 d=1 t=22136
yin 	音	c=0 d=0.1 t=17465
yin bao 	引爆	c=1 d=1 t=1091
yin cang 	隱藏	c=10 d=1.16203 t=19563
yin chu lai 	印出來	c=1 d=1 t=9861
yin ci 	因此	c=2 d=1 t=19298
yin dao 	引導	c=10 d=3.06117 t=26487
yin dao xi tong 	引導系統	c=1 d=1 t=26455
yin di 	因地	c=0 d=0.1 t=15221
yin fan le 	印反了	c=1 d=1 t=18302
yin hang 	銀行	c=4 d=1 t=9124
yin hang ka 	銀行卡	c=2 d=1 t=4370
yin hui 	淫穢	c=1 d=1 t=7538
yin jian 	陰間	c=1 d=0.100002 t=24798
yin jian ren 	陰間人	c=2 d=1.01168 t=25689
yin lian 	銀聯	c=5 d=1.00006 t=4374
yin qi 	引起	c=1 d=1 t=20345
yin ru 	引入	c=1 d=1.09465 t=12427
yin ru le 	引入了	c=1 d=1 t=12417
yin shi 	殷實	c=1 d=1 t=15199
yin shi yin di 	因時因地	c=1 d=1 t=15222
